#漢字	音標	解釋
肯	hɐn3	愿意，～去[白]
刻	hɐt8a	时～ ，～画[文]
刻	hɐt8a	～字[白]
克	hɐt8a	～服，攻～
黑	hɐt8a	～白
恆	hɐn2	～心，永～
冰	pɐn1a	结～，～箱
憑	pʰɐŋ2	文～，～借[文]
憑	pʰɐŋ2	倚靠，～墙[白]
陵	lɐŋ2	中山～
淩	lɐŋ2	冰淇～，壮志～云
菱	lɐŋ2	～角
力	lɐt8a	大～，～量
卽	ʦɐt7	～时，立～
鯽	ʦɐt8a	～鱼
息	ɬɐt8a	休～[文]
息	ɬɐt8a	子息，孙～[白]
熄	ɬɐt8a	～火
媳	ɬɐt8a	～妇，婆～
徵	ʦɐn1a	～求
□	pʰɐn2	澄清
澄	kʰɐn2	水浑，澄一澄[白]
澄	ʦʰɐn2	～海（地名）[白]
懲	ʦʰɐn2	～罚，严～
橙	ʦʰɐn2	橙子
瞪	tɐn1a	瞪眼，目～口呆[文]
瞪	tɐn1a	瞪眼[白]
直	ʦʰɐt8a	～接
値	ʦʰɐt8a	价～，～日
側	ʦɐt8a	～面
測	ʦʰɐt8a	～量，观～
色	sɐt8a	颜～，～彩
蒸	ʦɐn1a	清～，～发
拯	sɐn2	～救；包～（人名）
證	ʦɐn5	～明
症	ʦɐn5	～状
織	ʦɐn3	纺～，～布
職	ʦɐn3	～位，称～
稱	ʦʰɐn5	～心如意，对～
稱	ʦʰɐn1a	～呼
秤	ʦʰɐn5	用以称物，～砣
乘	sɐn2	～机，～车
乘	sɐn2	加减乘除
繩	sɐn2	～之以法
塍	sɐn2	田～
剩	sɐn3	～下，～余
食	sɐt8a	粮～；吃
蝕	sɐt8a	腐～
升	sɐn1a	～级
勝	sɐn5	～任
勝	sɐn5	～利，战～
識	sɐt8a	相～，～字
式	sɐt8a	～样，公～
飾	sɐt8a	装～
承	sɐn2	～担，继～
丞	sɐn2	～相
殖	ʦʰɐt8a	繁～
植	ʦʰɐt8a	～物
仍	ȵɐn2	～然
極	kʰɐt8a	南～
凝	ŋɐn2	～聚，～结
凝	ŋɐn2	凝固，～油[训]
凝	ŋɐn2	冰霜，霜～[训]
興	hɐn1a	～旺；绍～（地名）
興	hɐn5	高～，～趣[文]
興	hɐŋ5	高兴[白]
應	jɐn1a	～当，～该
應	jɐn5	～用，响～
鷹	jɐn1a	老～
憶	jɐt7	回～
億	jɐt7	十～
抑	jɐt8a	～制，压～
蠅	sɐn2	乌～（苍蝇）
孕	ȵɐn3	怀～，～妇
翼	jɐt7	鸡～，机～
國	kɔk8a	～家，中～
弘	hian2	～扬
或	væk7	～者
惑	væk7	迷～
域	jɐt7	领～，地～
百	pæk8a	～姓
柏	pæk8a	松～，～树；～林（地名）
伯	pæk8a	大～
迫	pɐt8a	压～，～害[训]
烹	pʰɐŋ1a	～调
拍	pʰæk8a	～片，～球
珀	pʰæk8a	琥～
魄	pʰæk8a	魂～，气～
彭	pʰɐŋ2	姓，～德怀
膨	pʰɐŋ2	～胀
白	pʰæk8b	～色
盲	mɐŋ2	文～，～目
虻	mɔŋ2	牛～
猛	mɐŋ3	～烈，凶～
孟	mɐŋ3	姓，～姜女
扌百	mæk8a	大力打
陌	pɐt8a	～生人
打	ta3	～针
冷	lɐŋ1a	～热，～清
撐	ʦʰɐn1a	支～，～开
拆	ʦʰæk8a	～开
澤	ʦʰæk8b	毛～东（人名）
擇	ʦʰæk8b	选～[文]
擇	tʰɔk8a	～菜[白]
宅	ʦæk8b	住～
窄	ʦæk8a	狭～
生	ɬɐn1a	学～，～活[文]
生	ɬɐn1a	与“死”相对[白]
牲	ɬɐn1a	牺～[文]
牲	ɬɐn1a	头～[白]
甥	ɬɐn1a	外～
省	ɬɐn3	～长，节～[文]
省	ɬɐn3	节省，～钱[白]
更	kɐn5	～换，～衣
更	kɐn1a	五～
庚	kɐn1a	天干，庚辛壬癸
羹	kɐn1b	调～；米糊
哽	kʰɐn3	哽住，骨头～到
梗	kɐn3	心肌～塞[文]
梗	kɐn3	茎，菜～[白]
更	kɐn5	～加
格	kɐk8a	～式；还珠～～[文]
格	kɐk8a	空～，三～[白]
坑	hɐn1a	水～，～沟
客	hɐk8a	请～
硬	ŋɐn3	软～
額	ŋɐt8a	名～
亨	hɐn1a	～通；～特（人名）
赫	hɐt8a	～～有名，显～
嚇	hɐt8a	～一跳
行	hɐŋ2	～为；行走
衡	hɐŋ2	～量，平～
杏	hɐn3	～仁
行	hɐŋ2	品～
浜	pɐn1a	沙家～
擘	mɐt8a	用手分开，～开
棚	pʰɐn2	楼～，瓜～
萌	mɐŋ2	～芽
氓	mɔŋ2	流～
麥	mɐt7	小～，～芽糖
脈	mɐt8a	～搏，把～
摘	ʦɐt8a	～菜
爭	ʦɐn1a	～取，斗～[文]
爭	ʦɐn1a	相～，～唔多（差不多）[白]
箏	ʦɐn1a	风～
睜	ʦɐn1a	～眼
責	ʦɐt8a	～任，负～
策	ʦʰɐt8a	～划，政～
冊	ʦʰɐt8a	两～，～封
耕	kɐn1a	～田
耿	kɐn3	忠心～～；姓，～精忠
革	kɐt8a	～命，改～
隔	kɐt8a	～壁
莖	kiɐn5	根；莲～
幸	hɐn3	荣～，～福
鶯	ʔɐn1a	黄～，夜～
鸚	jiɐn1a	～鹉
櫻	jiɐn1a	～桃
扼	ʔɐt8a	～杀，～制
軛	ʔɐt8a	牛～（牛耕田时套的人字形工具）
兵	pɐn1a	当～
丙	pian3	天干，甲乙丙丁
秉	pʰɐn3	～持，～公办事
柄	pian5	刀～，把～
碧	piɐt8a	～玉，～绿
平	pʰɐn2	和～，～时[文]
平	pʰian2	～头，～地[白]
坪	pʰɐn2	草～
評	pʰɐn2	批～，～论
病	pʰian3	～人
鳴	mɐn2	～叫
明	mɐn2	～白，清～[文]
明	mɐn2	清～[白]
盟	mɐn2	同～，～友
皿	mɐn3	器～
命	mian3	～令[文]
命	mian3	～运，算～[白]
京	kiɐn1a	北～，～剧
荊	kiɐn1a	～州（地名）[文]
荊	kiɐt7	布～子（中药）[白]
驚	kiɐn1a	害怕；～蛰
境	kiɐn3	环～，～界
景	kiɐn3	～色，风～
警	kiɐn3	～察，报～
敬	kiɐn5	尊～，～酒
竟	kiɐn3	～然
鏡	kian5	镜子
卿	hiɐn1a	～家；人名用字
慶	hiɐn5	～祝
擎	kiɐn3	举起，～旗
鯨	kiɐn1a	～鱼
競	kiɐn5	～争，～赛
劇	kʰiɛt8a	～烈，京～[文]
劇	kʰiɛt8a	快[白]
屐	kʰiɛp8a	木～
迎	ŋɐn2	～接，欢～
逆	ŋiɐt8a	～风
英	jin1a	～雄；～国（国名）
影	jɐn3	电～
映	jɐn3	反～
餠	pian3	～干
倂	pʰɐn5	合～
璧	piɐt8a	美玉，珠联～合
聘	pʰɐn5	～请，特～
僻	pʰɐt8a	偏～，～静
闢	pʰɐt8a	开～，复～
名	mian2	姓～
領	lian1a	～导，衫～（衣领）
嶺	tian1a	～南[文]
嶺	lian1a	～岗[白]
令	liɐn1a	命～，口～
精	ʦiɐn1a	～神
晶	ʦiɐn1a	水～
睛	ʦiɐn1a	眼～
井	ʦian3	～水，～～有条
積	ʦiɛt8a	～极，累～
跡	ʦiɛt8a	～象，痕～[文]
跡	ʦiɛt8a	脚～，油～[白]
脊	ʦiɛt8a	～椎，背～
淸	ʦʰiɐn1a	～楚，～水[文]
淸	ʦʰiɐn1a	～明[白]
請	ʦʰian3	～人，邀～
情	ʦʰiɐn2	感～，～节[文]
情	ʦʰiɐn1a	亲～（亲戚）[白]
晴	ʦʰiɐn2	天～
靜	tʰiɐn3	安～
靖	tʰiɐn3	李～（人名）
淨	ʦʰian3	干～
籍	ʦʰiɐt8a	祖～，～贯
藉	ʦʰiɐt8a	狼～
省	ɬɐn3	反～
性	ɬiɐn5	～别，天～
姓	ɬian5	～名
惜	ɬiɐt8a	疼爱[白]
惜	ɬiɐt8a	可～，珍～[文]
昔	ɬiɐt8a	～日，今～
席	ʦʰiɐt8a	酒～，主～
蓆	ʦʰiɛt8a	草～
夕	ʦʰiɐt8a	～阳
貞	ʦɐn1a	～节
偵	ʦɐn1a	～察，刑～
逞	ʦʰɐn2	～能，得～
呈	ʦʰɐn2	～现，辞～
程	ʦʰɐn2	～度，路～[文]
程	ʦʰɐn2	姓[白]
鄭	ʦʰian3	～重；姓
正	ʦɐn1a	～月
征	ʦiɐn1a	长～，特～
整	ʦiɐn3	～体，完～[文]
整	ʦiɐn3	修理，～车[白]
正	ʦiɐn5	立～，～直[文]
正	ʦiɐn5	～好，～来[白]
政	ʦiɐn5	行～，～治
隻	ʦɐt7	两～
炙	ʦiɐt8a	烤火，～火
赤	ʦʰiɐt7	～色，～脚
斥	ʦʰiɐt7	排～，～责
尺	ʦʰɐk7	～寸
射	sa3	～箭，发～
聲	sɐn1a	～音，笑～
聖	siɐn2	神～，～水
適	ɬiɐt7	～应，合～
釋	ɬiɐt8a	解～
成	sɐn2	～功，完～[文]
成	sɐn2	两～[白]
成	sɐn2	事成，做～[白]
城	sɐn2	～市，县～
誠	sɐn2	真～，～实
盛	siɐn5	兴～，茂～
石	sɐt8a	～头，～榴
頸	kian3	脖子
輕	hian1a	年～，～松[文]
輕	hian1a	不重；年～，～松[白]
嬰	jin1a	～儿
纓	jin1a	红～枪
益	jiɐt7	得～，有～
盈	ȵɐn2	～利，～亏
贏	jɐn2	～输
亦	jiɐt8a	～可以
譯	jiɐt8a	翻～
易	jiɐt8a	交～，贸～
液	jiɐt8a	～体，输～
腋	jiɐt8a	～下
壁	pɐt8a	墙～
拼	pʰɐn1a	～音
劈	pʰiɛt8a	～开，用刀～，雷～
霹	pʰiɐt7	～雳舞
甁	pʰɐn2	热水～
屛	pʰɐn2	～风，～障
萍	pʰɐn2	薸[训]
萍	pʰɐn2	～水相逢；人名用字
並	pʰɐn5	～且，～排
銘	mian2	～文，～刻
丁	tɐn1a	天干；姓
釘	tɐn1a	铁～[名]
頂	tian3	山～[白]
頂	tɐn1a	～唔得（顶不住）[文]
鼎	tɐn1a	～盛
釘	tɐn1a	～铁钉[动]
訂	tɐn5	预～，～房间
的	tɐt7	目～，～确
滴	tɐt7	～水，两～
嫡	tiɐt7	～系，～亲，～子
聽	tʰɐn1a	～话
廳	tʰɐn1a	客～，～长
汀	tɐn1a	长～，～江（地名）
聽	tʰɐn1a	听任，～佢（随他）
踢	tʰɐt8a	～球
剔	tʰiɐt7	挑～
亭	tʰɐn2	凉～
停	tʰɐn2	～止
廷	tʰɐn2	朝～
庭	tʰɐn2	家～，～院
蜓	tʰɐn2	蜻～
艇	tʰɐn3	快～，潜～
挺	tʰɐn2	坚～，叶～[文]
挺	tʰɐn2	～起来[白]
定	tʰɐn2	稳～；永～（地名）
笛	tʰɐt8a	笛子
敵	tʰɐt8a	～人
狄	tʰɐt8a	姓，～青
糴	tʰɐt8a	～米（买米）
寧	nɐn2	安～；～波（地名）
寧	nɐn2	～可
溺	nɐt7	～爱，～死
靈	liɐn2	～活
零	liɐn2	十～个，～头
鈴	liɐn2	～声，风～
伶	liɐn2	聪明～俐[文]
伶	liɐn2	～俐（干净）[白]
另	lɐn3	～外
歷	lɐt8a	～史，经～
曆	lɐt8a	日～，～书
績	ʦɐt8a	成～
靑	ʦʰɐn1a	～色，～年
蜻	ʦʰɐn1a	～蜓
戚	ʦʰɐt8a	亲～；姓，～继光
寂	ʦʰɐt8a	～寞
星	ɬɐn1a	火～，～～[文]
星	ɬɐn1a	～夜[白]
腥	ɬɐn1a	～味[文]
腥	ɬɐn1a	菜腥味，臭～[白]
腥	ɬɐn1a	～味，臭镬～[白]
猩	ɬɐn1a	大～～
醒	ɬian3	清～，～过来
錫	ɬɐt7	～纸；无～（地名）
析	ɬɐt8a	分～[文]
析	ɬɐt8a	量词，一～（一片）[白]
經	kiɐn1a	念～，～济[文]
徑	kiɐn5	半～
經	kiɐn1a	～纬，～线[文]
經	kiɐn1a	～丝（蜘蛛织网）[白]
經	kiɐn1a	～开；绊倒[白]
擊	kiɐt8a	～中，打～
激	kiɐt8a	～动
馨	hiɐn1a	温～
形	jɐn2	～状，地～
型	jiɐn3	～号，类～
刑	jiɐn2	判～，～法
礦	kʰɔŋ5	煤～，～工
橫	vɐŋ2	～直
橫	mɐŋ2	蛮～[文]
轟	kʰɐn1a	～炸
宏	vɐn2	～大
獲	væk7	收～
獲	væk7	～奖
劃	væk7	计～，～线
兄	hiɐn1a	～弟
榮	jian2	光～，～誉
永	viɐn3	～远
泳	viɐn3	游～
詠	viɐn3	歌～
傾	kʰiɐn1a	～向，左～
頃	kʰiɐn3	千～，～刻
瓊	kʰiɐn2	～楼；人名用字
營	jɐn2	国～，～养[文]
營	jɐn2	～长[白]
穎	viɐn3	新～；邓～超（人名）
疫	jiɐt8a	～苗，防～站
役	jiɐt8a	战～
螢	jɐn2	～火虫
卦	kua5	占～；姓
蔔	pʰæk8b	萝～
撲	pʰɔk8a	反～，～灭
仆	pʰɔk8a	倒下
篷	pʰoŋ2	帐～
蓬	foŋ2	～勃；～莱（地名）
僕	pok7	奴～，～人
曝	pʰu3	～光，一～十寒
瀑	pʰu3	～布
蒙	moŋ2	～蔽，天～～，～古（地名）
懵	moŋ3	～懂
木	mok8a	～工
東	toŋ1a	东南西北
董	toŋ3	古～；姓，～存瑞
懂	toŋ3	懵～，唔懂（不懂）
凍	toŋ5	冰～，～伤
棟	toŋ5	～梁；两～
通	tʰoŋ1a	～过，～风，打～
桶	tʰoŋ3	水～
捅	tʰoŋ3	～破
痛	tʰoŋ5	～苦
禿	tʰok7	～头
同	tʰoŋ2	相～，～学
銅	tʰoŋ3	金银～铁
桐	tʰoŋ2	～油，梧～
筒	tʰoŋ2	电～，话～
童	tʰoŋ2	～年，儿～
瞳	tʰoŋ2	～孔
動	tʰoŋ3	～作[文]
動	tʰoŋ3	～来～去[白]
洞	tʰoŋ3	山～，～察
獨	tʰok8a	单～，～立
讀	tʰok8a	～书，阅～
籠	loŋ2	鸟～，～罩
聾	loŋ2	耳～
攏	loŋ2	靠～，～总（一共）
弄	loŋ3	玩～
鹿	lok8a	～角，梅花～
椶	ʦoŋ1a	～树，～色
鬃	ʦoŋ1a	马～，猪～
總	ʦoŋ3	～共，汇～
糉	ʦoŋ5	粽子
聰	ʦoŋ1a	～明
蔥	ʦʰoŋ1a	葱
囪	ʦʰoŋ1a	烟～
叢	ʦʰoŋ2	草～，～书
族	ʦʰok8a	～长，民～
送	ɬoŋ5	～人
速	tʰok7	～度
公	koŋ1a	～安，办～
蚣	koŋ1a	蜈～
工	koŋ1a	～人，打～
功	koŋ1a	～夫，成～
攻	koŋ1a	～击，进～
貢	koŋ5	～献
穀	kok8a	五～
谷	kok8a	山～
空	koŋ1a	～虚，天～
空	hoŋ1a	～缺
孔	hoŋ3	钻～；姓，～子
控	hoŋ5	～制
哭	kiau5	～泣
烘	hoŋ5	～干
哄	hoŋ5	～骗
紅	hoŋ2	～色
洪	hoŋ2	～水；姓，～秀全
鴻	foŋ2	大展～图
汞	koŋ5	水银，～柱
斛	fok7	石～（中药）
翁	jioŋ1b	白头～；姓
甕	ʔɐn1a	小口大肚陶器
屋	ʔok8a	老～
冬	toŋ1a	过～，～节（冬至）
督	tok8a	～促，监～
統	tʰoŋ3	～一，总～
毒	tʰok7	中～，～药
農	noŋ1b	～村
膿	noŋ1b	化～
宗	ʦoŋ1a	祖～，～教
綜	ʦoŋ1a	～合；织布机上的综
鬆	ɬoŋ1a	轻～，放～
宋	ɬoŋ5	～朝；姓，～美龄
酷	hu5	残～
沃	jok7	肥～
風	foŋ1a	大～，～气
楓	foŋ1a	～树，～叶
瘋	foŋ1a	～狂
諷	foŋ3	～刺
福	fok8a	～气，享～
幅	fok7	一～画，～度
蝠	fok8a	蝙～
輻	fok8a	～射
複	fok8a	重～，～印，～写纸
腹	fok8a	心～，收～
豐	foŋ1a	～收
覆	fok8a	～盖[文]
覆	kʰɐt7	倒扣，碗倒扣在桌面[白]
馮	foŋ2	姓
鳳	foŋ3	～凰
服	fok8a	～务
伏	fok8a	三～，起～[文]
伏	pʰok7	趴，在桌子上趴着睡[白]
袱	fok8a	包～
復	fok8a	恢～，～原，报～
夢	moŋ3	发～
目	mok8a	～的；节～
穆	mok8a	姓，～桂英
牧	mok8a	放～，畜～局
隆	loŋ2	兴～，～重
六	lok8a	数字
陸	lok8a	大～，～续
嵩	soŋ2	～山；严～（人名）
肅	lok7	严～
宿	lok7	～舍，住～
中	ʦoŋ1a	～间，～秋[文]
中	ʦoŋ1a	～央；头顶物，～头帕[白]
忠	ʦoŋ1a	～心
中	ʦoŋ5	射～，～状元
竹	ʦok8a	～叶
築	ʦʰok8a	建～
畜	ʦʰok7	牲～，～牲
蟲	ʦʰoŋ2	害～
仲	ʦʰoŋ3	伯～叔；杜～（中药）
逐	ʦʰok8a	～渐，驱～
軸	ʦʰok8a	压～，～承
崇	soŋ2	～高，推～
縮	ɬok7	压～，～小
終	ʦoŋ1a	～于，始～
眾	ʦoŋ5	群～
祝	ʦok8a	～贺，庆～
粥	ʦok8a	煮～
充	ʦʰoŋ1a	～分，冒～
叔	sok7	二～，～～
熟	sok8a	煮～，～悉
淑	sok7	～女，贤～
戎	jioŋ2	～马生涯
絨	jioŋ2	灯芯～，～毛
肉	ȵok8a	猪～
弓	koŋ1a	～箭
躬	koŋ1a	鞠～
宮	koŋ1a	～殿，大闹天～
菊	kok8a	～花
麴	kʰok7	酒～
窮	kʰoŋ2	～人，无～
畜	ʦʰok7	～牧局
蓄	ʦʰok8a	储～，～水
郁	jiok7	抑～；～金香；姓
熊	joŋ2	～猫
雄	soŋ2	英～
融	joŋ2	～化；孔～（人名）
育	jok8a	教～
封	foŋ1a	密～
峯	foŋ1a	山～
蜂	foŋ1a	蜜～
鋒	foŋ1a	～利；雷～（人名）
捧	pʰɐn5	吹～
逢	foŋ2	相～，～年过节[文]
逢	foŋ2	～到（遇到）[白]
縫	foŋ2	裁～
奉	foŋ3	～献，～承
俸	foŋ3	～禄，薪～
縫	foŋ2	一条～，裂线～
濃	noŋ2	～厚[文]
濃	noŋ2	～淡；稠密[白]
龍	loŋ2	～头
壟	loŋ3	～断
綠	lok8a	～色
錄	lok8a	记～，～取
蹤	ʦoŋ1a	失～，～影
縱	ʦoŋ1a	～横，放～
足	ʦok8a	～球，满～
從	ʦʰoŋ2	～容
促	ʦok8a	督～，～进
從	ʦʰoŋ2	跟～，～来
慫	ʦoŋ5	～恿
粟	ɬok7	包～，～米，～子粄
松	ʦʰoŋ2	～树
誦	ʦʰoŋ3	背～
頌	ʦʰoŋ3	歌～
訟	ʦʰoŋ3	诉～
俗	ʦʰok8a	风～
續	ʦʰok8a	继～，～集
寵	ʦʰoŋ3	～爱，得～
重	ʦʰoŋ2	～复
重	ʦʰoŋ1a	～量[文]
重	ʦʰoŋ1a	轻～[白]
鐘	ʦoŋ1a	两点～，闹～
盅	ʦoŋ1b	酒～，两～酒
種	ʦoŋ3	～类，树～[名，量]
種	ʦoŋ5	～田[动]
腫	ʦoŋ3	～起来，水～
燭	ʦok8a	蜡～
囑	ʦok8a	遗～，～托
衝	ʦʰoŋ1a	～锋枪
觸	ʦʰok8a	接～，～犯
贖	sok8a	～罪
舂	tʰun1a	～米
束	tʰok8a	结～
蜀	ʦʰok8a	四川简称，乐不思～
屬	ʦʰok8a	～于，家～
茸	joŋ1b	鹿～
辱	jok8a	污～
褥	jok8a	垫被，褥子
恭	koŋ1a	～敬
供	koŋ1a	提～，～应
拱	koŋ3	～手，～桥
鞏	koŋ3	～固
供	koŋ1a	～细人（生小孩）
恐	hoŋ3	～怖
曲	kʰok7	歌～，～折
共	kʰoŋ3	一～，～同
局	kʰok8a	～部，公安～
玉	ȵok8a	白～
獄	jok8a	监～
胸	hoŋ1a	心～
凶	hoŋ1a	吉～
兇	hoŋ1a	～恶
雍	jioŋ1a	～正皇帝
擁	jioŋ3	～护
容	jioŋ2	～易，宽～
蓉	jioŋ2	芙～
鎔	jioŋ2	朱～基（人名）
庸	jioŋ2	平～，～俗
勇	ȵoŋ3	～敢
湧	ȵoŋ3	～现，洶～
用	jioŋ3	～处
用	jioŋ3	有～
欲	jiok8a	～速则不达
慾	jiok8a	～望，贪～
浴	jiok8a	沐～露[文]
浴	jiok8a	～堂（浴室）[白]
屙	ʔɔ1a	排泄，～尿，～屎
播	pɔ5	广～，～种
墅	ɬui3	别～
沸	fɐt8a	沸腾
竂	liau1b	茅～，鸡～
煞	ɬæk8b	凶神恶～
健	kian5	～康
癲	tian1a	～鬼
櫼	mɛ5	塞，挤
逩	pɐn1a	投～
詢	ʦʰun2	咨～，～问
圳	ʦɐn5	深～；田中小沟
踭	ʦɐn1a	脚后跟，脚～
坼	ʦʰæk8a	裂开，爆～
戟	kit8a	巴～（中药，鸡肠风）
脊	ʦiɛt8a	山～（山脊），屋～（屋脊）
嫲	ma2	雌性
脢	mɔi2	背～（背部），～肉（背脊肉）
髀	pi3	大～（大腿）
褸	lɐi1a	大～
竇	tɐi5	鸟～
竇	tɐi5	鼻～炎；姓
腩	nam1a	肚～
□	kɐk8a	檩子，承重的横木
斫	ʦam3	砍，～树
簕	lɐt8a	刺
罌	ʔɐn1a	小口大肚的瓶子
丟	tiu1a	扔弃
壢	liɛt8a	地～（旱地）
□	vɔ1b	坑
焗	kʰok8a	盐～鸡
摝	lok7	搅拌，～水
熝	næk8a	烫，～人
唔	mɔ2	不
啱	ŋam1a	合适，恰巧
嫽	liau3	玩耍
噍	ȵai5	嚼
擸	ʦʰun1a	叠起（散乱的碗）[动]；一～碗[量]
浼	mæk7	体垢
頦	ŋɔk8a	脖子前面部分，大～
猋	piau1a	跳，快走
□	kiau1b	～线（绕线）
□	sɐp8a	淋雨
罅	kʰia5	缝，手指～
珓	kau5	圣～
□	hɔn2	饭～（饭粒）
惶	kʰɔŋ2	害怕
跔	pɐi1b	蹲；腿蜷曲
癐	kʰɔi3	累，疲乏
窿	loŋ1b	穿～（破洞）
洞	tʰoŋ3	涵～（涵洞）
菜	ʦʰɔi5	菜肴
轆	lok7	轮子
丟	tiu1a	丢，扔
呃	ŋɐt7	欺骗
跟	kɐn1a	找，寻找；挣（钱）
烊	jioŋ2	融化
奀	ŋian1b	瘦小
諗	nɐn3	思考
梘	kan3	肥皂
慳	han1a	节俭
踎	pɐi1b	蹲
孖	lɔn1a	双
乸	ma2	雌性
嘢	ȵa1a	东西
咪	mɐi1b	麦克风
攞	lɔ1a	拿，取
煲	pɔ1a	煲
蠔	hɔ2	海蛎
睇	tʰɛ3	看
冚	kʰɐp7	盖住
和	vɔ2	～气[文]
岔	ʦʰa1b	三～路口
姐	ʦi3	姐姐2[白]
塊	fai5	一～
